PRGT:5018,0,"Scanning CD-ROM devices"
PRGV:2687,2687,65536
PRGV:2700,2687,65536
PRGV:2700,2700,65536
PRGV:2741,2700,65536
PRGV:2741,2741,65536
PRGV:2754,2741,65536
PRGV:2754,2754,65536
PRGV:2766,2754,65536
PRGV:2766,2766,65536
PRGV:2807,2766,65536
PRGV:2807,2807,65536
PRGV:2820,2807,65536
PRGV:2820,2820,65536
PRGV:2861,2820,65536
PRGV:2861,2862,65536
PRGV:2874,2862,65536
PRGV:2874,2874,65536
PRGV:2886,2874,65536
PRGV:2886,2886,65536
PRGV:2928,2886,65536
PRGV:2928,2928,65536
PRGV:2941,2928,65536
PRGV:2941,2941,65536
PRGV:2974,2941,65536
PRGV:2974,2974,65536
PRGV:2987,2974,65536
PRGV:2987,2987,65536
PRGV:3028,2987,65536
PRGV:3028,3029,65536
PRGV:3041,3029,65536
PRGV:3041,3041,65536
PRGV:3053,3041,65536
PRGV:3053,3053,65536
PRGV:3095,3053,65536
PRGV:3095,3095,65536
PRGV:3107,3095,65536
PRGV:3107,3107,65536
PRGV:3149,3107,65536
PRGV:3149,3149,65536
PRGV:3163,3149,65536
PRGV:3163,3163,65536
PRGV:3175,3163,65536
PRGV:3175,3175,65536
PRGV:3215,3175,65536
PRGV:3215,3215,65536
PRGV:3228,3215,65536
PRGV:3228,3228,65536
PRGV:3269,3228,65536
PRGV:3269,3270,65536
PRGV:3282,3270,65536
PRGV:3282,3282,65536
PRGV:3294,3282,65536
PRGV:3294,3294,65536
PRGV:3335,3294,65536
PRGV:3335,3336,65536
PRGV:3348,3336,65536
PRGV:3348,3348,65536
PRGV:3382,3348,65536
PRGV:3382,3382,65536
PRGV:3395,3382,65536
PRGV:3395,3396,65536
PRGV:3436,3396,65536
PRGV:3436,3437,65536
PRGV:3449,3437,65536
PRGV:3449,3450,65536
PRGV:3461,3450,65536
PRGV:3461,3462,65536
PRGV:3503,3462,65536
PRGV:3503,3503,65536
PRGV:3515,3503,65536
PRGV:3515,3516,65536
PRGV:3557,3516,65536
PRGV:3557,3557,65536
PRGV:3570,3557,65536
PRGV:3570,3570,65536
PRGV:3582,3570,65536
PRGV:3582,3582,65536
PRGV:3623,3582,65536
PRGV:3623,3623,65536
PRGV:3636,3623,65536
PRGV:3636,3636,65536
PRGV:3677,3636,65536
PRGV:3677,3677,65536
PRGV:3690,3677,65536
PRGV:3690,3691,65536
PRGV:3703,3691,65536
PRGV:3703,3703,65536
PRGV:3748,3703,65536
PRGV:3748,3748,65536
PRGV:3763,3748,65536
PRGV:3763,3763,65536
PRGV:3775,3763,65536
PRGV:3775,3775,65536
PRGV:3819,3775,65536
PRGV:3819,3819,65536
PRGV:3831,3819,65536
PRGV:3831,3831,65536
PRGV:3874,3831,65536
PRGV:3874,3874,65536
PRGV:3887,3874,65536
PRGV:3887,3888,65536
PRGV:3900,3888,65536
PRGV:3900,3900,65536
PRGV:3940,3900,65536
PRGV:3940,3941,65536
PRGV:3954,3941,65536
PRGV:3954,3954,65536
PRGV:3995,3954,65536
PRGV:3995,3995,65536
PRGV:4007,3995,65536
PRGV:4007,4007,65536
PRGV:4019,4007,65536
PRGV:4019,4019,65536
PRGV:4061,4019,65536
PRGV:4061,4061,65536
PRGV:4073,4061,65536
PRGV:4073,4074,65536
PRGV:4115,4074,65536
PRGV:4115,4115,65536
PRGV:4128,4115,65536
PRGV:4128,4128,65536
PRGV:4140,4128,65536
PRGV:4140,4140,65536
PRGV:4181,4140,65536
PRGV:4181,4181,65536
PRGV:4194,4181,65536
PRGV:4194,4194,65536
